1236, 616, 522, 673, 1.000000
508, 445, 325, 219, 1.000000
884, 81, 112, 1285, 1.000000
217, 1192, 302, 791, 1.000000
106, 283, 1061, 570, 1.000000
369, 347, 606, 856, 1.000000
692, 529, 499, 859, 1.000000
491, 711, 581, 1294, 1.000000
664, 228, 716, 923, 1.000000
106, 1180, 283, 570, 1.000000
1011, 1075, 742, 178, 1.000000
867, 268, 272, 1068, 1.000000
1305, 867, 24, 374, 1.000000
876, 626, 520, 1283, 1.000000
1211, 770, 243, 17, 1.000000
597, 898, 1245, 940, 1.000000
812, 42, 691, 222, 1.000000
180, 304, 714, 78, 1.000000
784, 897, 657, 836, 1.000000
725, 622, 1239, 791, 1.000000
550, 566, 153, 695, 1.000000
832, 744, 749, 1243, 1.000000
557, 905, 637, 1185, 1.000000
1195, 879, 497, 711, 1.000000
1001, 1247, 802, 384, 1.000000
1236, 726, 471, 101, 1.000000
721, 877, 723, 927, 1.000000
1010, 496, 582, 612, 1.000000
1032, 720, 700, 910, 1.000000
110, 430, 417, 846, 1.000000
23, 27, 234, 873, 1.000000
101, 1033, 182, 726, 1.000000
716, 1088, 1175, 629, 1.000000
800, 548, 808, 1284, 1.000000
834, 868, 1217, 544, 1.000000
1016, 870, 661, 485, 1.000000
216, 1173, 240, 900, 1.000000
522, 462, 961, 788, 1.000000
935, 734, 1096, 1177, 1.000000
1055, 847, 290, 83, 1.000000
784, 1294, 1282, 711, 1.000000
716, 273, 947, 1175, 1.000000
883, 724, 331, 712, 1.000000
1227, 927, 276, 545, 1.000000
454, 134, 1100, 308, 1.000000
1064, 1002, 863, 816, 1.000000
429, 130, 166, 214, 1.000000
947, 1238, 644, 515, 1.000000
20, 398, 936, 157, 1.000000
1194, 102, 735, 764, 1.000000
311, 881, 1232, 192, 1.000000
532, 1207, 643, 667, 1.000000
328, 798, 116, 205, 1.000000
705, 1282, 1195, 800, 1.000000
1238, 641, 759, 947, 1.000000
390, 1224, 795, 111, 1.000000
713, 44, 595, 623, 1.000000
752, 977, 1275, 846, 1.000000
1203, 864, 987, 157, 1.000000
1018, 1157, 309, 987, 1.000000
1050, 130, 508, 774, 1.000000
714, 1127, 1149, 78, 1.000000
835, 988, 970, 745, 1.000000
573, 779, 1057, 905, 1.000000
75, 352, 318, 888, 1.000000
537, 1013, 1146, 901, 1.000000
526, 921, 178, 972, 1.000000
1193, 563, 533, 56, 1.000000
198, 762, 15, 675, 1.000000
660, 1104, 1210, 1163, 1.000000
1199, 1236, 722, 662, 1.000000
785, 809, 580, 418, 1.000000
947, 641, 1218, 644, 1.000000
282, 867, 938, 770, 1.000000
475, 800, 497, 711, 1.000000
923, 57, 1088, 716, 1.000000
463, 976, 379, 1118, 1.000000
887, 1190, 490, 699, 1.000000
874, 603, 232, 1004, 1.000000
1147, 780, 657, 1007, 1.000000
160, 324, 2, 589, 1.000000
230, 1106, 39, 319, 1.000000
980, 561, 546, 1102, 1.000000
715, 1084, 1074, 1222, 1.000000
354, 1220, 802, 135, 1.000000
870, 597, 871, 485, 1.000000
